trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-153.88744210765282,"{0: 16, 1: 2, 2: 1, 3: 4, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-138.45094181687486,"{0: 22, 1: 3, 2: 1, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-86.99979052096633,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-158.95841275954294,"{0: 23, 1: 3, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-133.35233040765746,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-132.85453296421895,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,11,-120.8488694984019,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-101.49904190541449,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-73.87195584245094,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-35.86780734320085,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-22.644444476206502,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-180.1676119396545,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-76.85542248461618,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-143.34723324666214,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,3,-38.77653244662702,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,13,-66.57899577521336,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,19,11.816773034744651,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-50.381711523740584,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-107.07774553362825,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,1,-5.586990720631574,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,11,-78.31870402948901,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",25,10,3.929674625953668,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,19,-33.655683000124206,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,7,-19.433663366152437,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,13,5.689818543614988,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,14,-42.20725956461271,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,5,26.32797456426077,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,10,-28.44290340735354,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,-30.3004635061505,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-63.184039053329926,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
