trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",20,0,-127.08993226373498,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9603999999999999}",35,0,-229.77258155147996,"{0: 18, 1: 1, 2: 11, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9411919999999999}",25,0,-171.0147163033385,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9223681599999999}",25,0,-186.0581395643544,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9039207967999998}",25,0,-180.85388479051792,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.8858423808639998}",30,0,-149.0134529429763,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.8681255332467198}",25,9,-91.83934765524032,"{0: 7, 1: 2, 2: 5, 3: 2, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.8507630225817854}",20,4,-67.01268674971091,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.8337477621301497}",25,0,-215.48304316106763,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.8170728068875467}",25,8,-61.96214221159046,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8007313507497957}",20,0,-76.57615471565677,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.7847167237347998}",25,4,-12.610867136621454,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.7690223892601038}",20,0,-95.45129654807224,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.7536419414749017}",25,0,-122.06383674289972,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.7385691026454037}",20,0,-53.17845239579645,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.7237977205924956}",25,0,-71.16702029132374,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.7093217661806457}",20,0,-67.65411031127032,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.6951353308570327}",25,0,-112.89074936897191,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.6812326242398921}",25,0,-92.35550463914244,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.6676079717550942}",20,14,12.687403182369652,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.6542558123199923}",30,0,-86.8705169339547,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.6411706960735924}",20,0,-44.9302979806152,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.6283472821521205}",35,0,-136.4685660945552,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.6157803365090782}",25,2,-48.407798444891355,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.6034647297788965}",20,0,-109.33363041570317,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.5913954351833186}",20,8,-18.960901121613546,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.5795675264796523}",30,14,-30.788213915925482,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.5679761759500592}",25,15,-50.585127320796786,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.5566166524310581}",20,0,10.33592661097372,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.5454843193824369}",25,0,-227.6580309472196,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
31,False,"{'a': 0.5, 'e': 0.5345746329947881}",20,10,-2.228823990435658,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.5238831403348924}",20,0,-10.772644034413789,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.5134054775281945}",20,0,-62.42712164019405,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.5031373679776306}",20,0,-67.46880237831354,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.493074620618078}",20,1,3.8619652883160924,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.48321312820571644}",20,5,-54.20089067940209,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.4735488656416021}",25,1,-1.8051975179137405,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.46407788832877006}",25,0,-107.79832563367097,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.45479633056219465}",25,0,-109.67177026775337,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.44570040395095073}",25,8,-36.75322843924615,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.4367863958719317}",30,10,9.048910406588464,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.42805066795449304}",20,0,-36.84140995746951,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.41948965459540316}",30,9,-5.498115460808017,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.4110998615034951}",20,0,-19.018789363584478,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.4028778642734252}",30,0,-25.582820388628797,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.39482030698795667}",20,14,-3.672155630689332,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.38692390084819756}",20,0,-103.28584058271456,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.3791854228312336}",30,0,-14.845488397752499,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.37160171437460887}",20,1,-4.067377458733302,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.3641696800871167}",30,19,22.82913733994522,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.35688628648537435}",20,0,-40.90850606841114,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.34974856075566685}",20,7,-0.3602308935768148,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.3427535895405535}",20,12,-9.98567463019053,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
