trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-114.17747094184038,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-219.93930750601908,"{0: 10, 1: 2, 2: 10, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-147.0463471221252,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-206.7638702255889,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-159.33123846092423,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-55.936701046616434,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-71.33369795107889,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-158.12752156968222,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-253.79070091292482,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,15,1.1839407436040512,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-145.01898475699733,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,2,-79.44937217292433,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,-40.27834584876604,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-92.00573274791317,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-62.57708743617329,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-56.798764607305294,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-52.94964945782889,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-74.47799352420117,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-269.3787482421728,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 5}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-164.5286326182857,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-172.6945662516593,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,0,-101.43175084601077,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-79.70802419926349,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-232.4229156815383,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",30,0,-126.20131504572257,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-269.8800034371872,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 5}",0
7,True,"{'a': 0, 'e': 0}",35,0,-180.9108443654994,"{0: 20, 1: 3, 2: 9, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-181.50618301980373,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",30,0,-75.09309435233179,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-157.06323878785815,"{0: 10, 1: 4, 2: 1, 3: 3, 4: 2}",0
